"pathway" "deceacelist"
"1452" "Liver Cirrhosis" "Complement and Coagulation Cascades;Estrogen metabolism;Matrix Metalloproteinases;Angiogenesis;Selenium Micronutrient Network;Tamoxifen metabolism;AMPK Signaling;Adipogenesis;Blood Clotting Cascade;Allograft Rejection;Aflatoxin B1 metabolism;Inflammatory Response Pathway;TGF Beta Signaling Pathway;ACE Inhibitor Pathway;MicroRNAs in cardiomyocyte hypertrophy;Oncostatin M Signaling Pathway;Vitamin B12 Metabolism;Fatty Acid Omega Oxidation;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1453" "Melanoma" "EPO Receptor Signaling;Type II interferon signaling (IFNG);Kit receptor signaling pathway;Nanoparticle-mediated activation of receptor signaling;Matrix Metalloproteinases;Toll-like receptor signaling pathway;Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;Wnt Signaling Pathway Netpath;Allograft Rejection;Corticotropin-releasing hormone;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;TCR Signaling Pathway;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;IL-3 Signaling Pathway;IL-9 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;Cardiac Progenitor Differentiation;Osteoclast Signaling;Nifedipine Activity;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;ATM Signaling Pathway;Physiological and Pathological Hypertrophy  of the Heart;IL-5 Signaling Pathway;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;EGF/EGFR Signaling Pathway;AGE/RAGE pathway;ErbB Signaling Pathway;EBV LMP1 signaling;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;Neural Crest Differentiation;Cytokines and Inflammatory Response;IL-2 Signaling Pathway"
"1454" "Anemia, Sideroblastic" "Heme Biosynthesis"
"1455" "Cardiomyopathy, Dilated" "Matrix Metalloproteinases;Allograft Rejection;Arrhythmogenic Right Ventricular Cardiomyopathy;Striated Muscle Contraction"
"1456" "Gallbladder Diseases" "Selenium Micronutrient Network;Statin Pathway"
"1457" "Leukemia, Myelogenous, Chronic, BCR-ABL Positive" "B Cell Receptor Signaling Pathway;EPO Receptor Signaling;Type II interferon signaling (IFNG);Kit receptor signaling pathway;Nanoparticle-mediated activation of receptor signaling;IL17 signaling pathway;Diurnally Regulated Genes with Circadian Orthologs;IL-7 Signaling Pathway;Integrated Cancer pathway;BDNF signaling pathway;DNA Damage Response (only ATM dependent);Aflatoxin B1 metabolism;Interferon type I signaling pathways;IL-3 Signaling Pathway;Glutathione metabolism;IL-4 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;TSLP Signaling Pathway;Oncostatin M Signaling Pathway;IL-5 Signaling Pathway;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;EGF/EGFR Signaling Pathway;Serotonin Receptor 2 and STAT3 Signaling;AGE/RAGE pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Amyotrophic lateral sclerosis (ALS);IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;MAPK Cascade;Signaling Pathways in Glioblastoma;IL-2 Signaling Pathway"
"1458" "Glomerulonephritis, IGA" "Allograft Rejection;Inflammatory Response Pathway;ACE Inhibitor Pathway;Spinal Cord Injury;Cytokines and Inflammatory Response;Folate Metabolism"
"1459" "Myocardial Infarction" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Blood Clotting Cascade;Statin Pathway;Inflammatory Response Pathway;ACE Inhibitor Pathway;Vitamin B12 Metabolism;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1460" "Carcinoma, Non-Small-Cell Lung" "Fluoropyrimidine Activity;Nanoparticle-mediated activation of receptor signaling;Matrix Metalloproteinases;Angiogenesis;DNA Damage Response (only ATM dependent);Aryl Hydrocarbon Receptor;Codeine and Morphine Metabolism;Irinotecan Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;TP53 Network;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"1461" "Osteochondrodysplasias" "Focal Adhesion;Endochondral Ossification"
"1462" "Cerebral Infarction" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Adipogenesis;Blood Clotting Cascade;Statin Pathway;Vitamin B12 Metabolism;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1463" "Myocardial Ischemia" "Angiogenesis;Statin Pathway;ACE Inhibitor Pathway;Cardiac Progenitor Differentiation;MicroRNAs in cardiomyocyte hypertrophy;Endothelin Pathways;Cytokines and Inflammatory Response"
"1464" "Panic Disorder" "Monoamine GPCRs;SIDS Susceptibility Pathways;Monoamine Transport;Serotonin Transporter Activity;Dopamine metabolism;Biogenic Amine Synthesis"
"1465" "Bipolar Disorder" "Monoamine GPCRs;SIDS Susceptibility Pathways;Vitamin B12 Metabolism;Hypothetical Network for Drug Addiction;Monoamine Transport;Nicotine Activity on Dopaminergic Neurons;Serotonin Transporter Activity;Biogenic Amine Synthesis;Folate Metabolism"
"1466" "Alopecia" ""
"1467" "Ductus Arteriosus, Patent" "Eicosanoid Synthesis;Prostaglandin Synthesis and Regulation"
"1468" "Amino Acid Metabolism, Inborn Errors" "Trans-sulfuration and one carbon metabolism;One Carbon Metabolism"
"1469" "Calcinosis" ""
"1470" "Growth Hormone-Secreting Pituitary Adenoma" ""
"1471" "Endometrial Neoplasms" "Estrogen metabolism;Tamoxifen metabolism;Integrated Cancer pathway;Wnt Signaling Pathway Netpath;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Mismatch repair;TWEAK Signaling Pathway;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;TGF Beta Signaling Pathway;Leptin signaling pathway;DNA Damage Response;Cell Cycle;Oncostatin M Signaling Pathway;Androgen receptor signaling pathway;ATM Signaling Pathway;Benzo(a)pyrene metabolism;TP53 Network;Apoptosis;ErbB Signaling Pathway;Nuclear Receptors;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Ovarian Infertility Genes;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"1472" "Nephritis, Interstitial" "Tamoxifen metabolism;Allograft Rejection"
"1473" "Arthritis, Gouty" ""
"1474" "Anemia, Megaloblastic" "One Carbon Metabolism;Vitamin B12 Metabolism"
"1475" "ANAL CANAL CARCINOMA" ""
"1476" "Skin Abnormalities" "Apoptosis"
"1477" "Carotid Artery Diseases" "Selenium Micronutrient Network;Statin Pathway;Osteopontin Signaling;Oxidative Stress;Vitamin B12 Metabolism;Folate Metabolism"
"1478" "Leukemia" "EPO Receptor Signaling;Kit receptor signaling pathway;Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;Wnt Signaling Pathway Netpath;Allograft Rejection;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;Signaling of Hepatocyte Growth Factor Receptor;IL-3 Signaling Pathway;IL-4 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;G1 to S cell cycle control;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Androgen receptor signaling pathway;ATM Signaling Pathway;IL-5 Signaling Pathway;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Amyotrophic lateral sclerosis (ALS);TNF alpha Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma;IL-2 Signaling Pathway;FSH signaling pathway"
"1479" "Kidney Neoplasms" ""
"1480" "Neuroendocrine Tumors" "Estrogen signaling pathway;Aryl Hydrocarbon Receptor;TP53 Network;Arylhydrocarbon receptor (AhR) signaling pathway;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway;Signaling Pathways in Glioblastoma"
"1481" "Diabetes Insipidus" ""
"1482" "Inappropriate ADH Syndrome" "SIDS Susceptibility Pathways"
"1483" "MELANOMA, UVEAL" ""
"1484" "Williams Syndrome" ""
"1485" "AIDS-related Kaposi sarcoma" "Kit receptor signaling pathway;Integrated Cancer pathway;Corticotropin-releasing hormone;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);FAS pathway and Stress induction of HSP regulation;IL-3 Signaling Pathway;Influenza A virus infection;Interleukin-11 Signaling Pathway;IL-5 Signaling Pathway;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;Amyotrophic lateral sclerosis (ALS);Senescence and Autophagy;IL-2 Signaling Pathway"
"1486" "Lymphoma, Follicular" "Fluoropyrimidine Activity;Integrated Cancer pathway;Allograft Rejection;G1 to S cell cycle control;TP53 Network;Apoptosis"
"1487" "Obsessive-Compulsive Disorder" "Monoamine GPCRs"
"1488" "Oligospermia" ""
"1489" "Rhabdomyosarcoma, Embryonal" ""
"1490" "Meningitis, Meningococcal" "Complement Activation, Classical Pathway"
"1491" "Dyskinesia, Drug-Induced" "Serotonin Receptor 2 and ELK-SRF/GATA4 signaling;Tamoxifen metabolism;Monoamine GPCRs;GPCRs, Class A Rhodopsin-like;Nicotine Activity on Dopaminergic Neurons;Fatty Acid Omega Oxidation;Biogenic Amine Synthesis"
"1492" "Phobic Disorders" "Oxidative Stress"
"1493" "Vasculitis" ""
"1494" "Liver Cirrhosis, Biliary" "Toll-like receptor signaling pathway;Allograft Rejection;Drug Induction of Bile Acid Pathway;Regulation of toll-like receptor signaling pathway;Cytokines and Inflammatory Response"
"1495" "Pulmonary Disease, Chronic Obstructive" "Matrix Metalloproteinases;Selenium Micronutrient Network;Aflatoxin B1 metabolism;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Oxidative Stress;Spinal Cord Injury;Vitamin B12 Metabolism;Monoamine Transport;Amyotrophic lateral sclerosis (ALS);Serotonin Transporter Activity;Cytokines and Inflammatory Response;Folate Metabolism;Effects of Nitric Oxide"
"1496" "Liposarcoma" "G1 to S cell cycle control;TP53 Network;Signaling Pathways in Glioblastoma"
"1497" "Helicobacter Infections" "Type II interferon signaling (IFNG);Selenium Micronutrient Network;Allograft Rejection;DNA Damage Response (only ATM dependent);Spinal Cord Injury;Arylhydrocarbon receptor (AhR) signaling pathway;IL-1 signaling pathway;ErbB Signaling Pathway;EBV LMP1 signaling;MAPK Signaling Pathway;Senescence and Autophagy;Cytokines and Inflammatory Response"
"1498" "Li-Fraumeni Syndrome" "Integrated Cancer pathway;DNA Damage Response (only ATM dependent);DNA Damage Response;G1 to S cell cycle control;Cell Cycle;ATM Signaling Pathway;TP53 Network;Apoptosis;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Homologous recombination;Senescence and Autophagy;Signaling Pathways in Glioblastoma;RB in Cancer"
"1499" "Hodgkin Disease" "EPO Receptor Signaling;Type II interferon signaling (IFNG);Kit receptor signaling pathway;Matrix Metalloproteinases;Angiogenesis;Integrated Cancer pathway;Allograft Rejection;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;IL-3 Signaling Pathway;IL-4 Signaling Pathway;Leptin signaling pathway;Osteopontin Signaling;TSLP Signaling Pathway;Notch Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Hypertrophy Model;IL-5 Signaling Pathway;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;Serotonin Receptor 2 and STAT3 Signaling;AGE/RAGE pathway;Amyotrophic lateral sclerosis (ALS);TNF alpha Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma;TFs Regulate miRNAs related to cardiac hypertrophy;Cytokines and Inflammatory Response;IL-2 Signaling Pathway;Folate Metabolism"
"1500" "Hypogonadism" ""
"1501" "Narcolepsy" "Allograft Rejection;Cytokines and Inflammatory Response"
"1502" "Heart Septal Defects" ""
"1503" "Nephritis, Hereditary" ""
"1504" "Retinal Diseases" ""
"1505" "Pasteurellaceae Infections" ""
"1506" "Leber Congenital Amaurosis" "Nucleotide Metabolism;Vitamin A and Carotenoid Metabolism"
"1507" "Dermatitis, Contact" "Toll-like receptor signaling pathway;Selenium Micronutrient Network;Allograft Rejection;FAS pathway and Stress induction of HSP regulation;SIDS Susceptibility Pathways;Spinal Cord Injury;Vitamin B12 Metabolism;Monoamine Transport;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;MAPK Signaling Pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"1508" "Heredodegenerative Disorders, Nervous System" ""
"1509" "Hyperaldosteronism" "ACE Inhibitor Pathway"
"1510" "Hypoaldosteronism" "Glucocorticoid & Mineralcorticoid Metabolism;ACE Inhibitor Pathway;Oxidation by Cytochrome P450"
"1511" "Carcinoma, Large Cell" "Estrogen metabolism;Fluoropyrimidine Activity;Tamoxifen metabolism;miR-targeted genes in adipocytes - TarBase;Aryl Hydrocarbon Receptor;Benzo(a)pyrene metabolism;TP53 Network;Fatty Acid Omega Oxidation;Arylhydrocarbon receptor (AhR) signaling pathway;ErbB Signaling Pathway;Signaling Pathways in Glioblastoma"
"1512" "Hepatitis B" "Type II interferon signaling (IFNG);Nanoparticle-mediated activation of receptor signaling;Toll-like receptor signaling pathway;Adipogenesis;Allograft Rejection;Corticotropin-releasing hormone;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;Aryl Hydrocarbon Receptor;TCR Signaling Pathway;Signaling of Hepatocyte Growth Factor Receptor;TSLP Signaling Pathway;Notch Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;TP53 Network;Apoptosis;Regulation of toll-like receptor signaling pathway;ErbB Signaling Pathway;Nuclear Receptors;EBV LMP1 signaling;Integrated Pancreatic Cancer Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1513" "Gliosarcoma" "Angiogenesis;Aryl Hydrocarbon Receptor;Cardiac Progenitor Differentiation;Diclofenac Metabolic Pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"1514" "Dyslexia" ""
"1515" "Gonadal Dysgenesis, 46,XY" "Nuclear Receptors"
"1516" "Hyperthyroxinemia" "Selenium Micronutrient Network;Selenium Metabolism and Selenoproteins"
"1517" "Schizophrenia, Paranoid" "Estrogen metabolism;SIDS Susceptibility Pathways;Nicotine Activity on Dopaminergic Neurons;Arylhydrocarbon receptor (AhR) signaling pathway;Dopamine metabolism;Biogenic Amine Synthesis"
"1518" "Hyperprolactinemia" ""
"1519" "Impulse Control Disorders" "Monoamine GPCRs;Monoamine Transport;GPCRs, Class A Rhodopsin-like;Nicotine Activity on Dopaminergic Neurons;Serotonin Transporter Activity"
"1520" "Hydronephrosis" "TGF Beta Signaling Pathway;ACE Inhibitor Pathway"
"1521" "Bile Duct Neoplasms" "Selenium Micronutrient Network;Statin Pathway;One carbon donor;Vitamin B12 Metabolism;Arylhydrocarbon receptor (AhR) signaling pathway"
"1522" "Elliptocytosis, Hereditary" ""
"1523" "Central Nervous System Diseases" ""
"1524" "Neuroectodermal Tumors, Primitive" ""
"1525" "Retinal Vein Occlusion" "Complement and Coagulation Cascades;Blood Clotting Cascade;Oncostatin M Signaling Pathway;Vitamin B12 Metabolism;Folate Metabolism"
"1526" "Charcot-Marie-Tooth Disease" ""
"1527" "Renal oncocytoma" ""
"1528" "Fibrous Dysplasia of Bone" "Estrogen signaling pathway;Selenium Metabolism and Selenoproteins"
"1529" "Friedreich Ataxia" ""
"1530" "Magnesium Deficiency" ""
"1531" "Glucosephosphate Dehydrogenase Deficiency" "Type II interferon signaling (IFNG);Glutathione metabolism;Sulfation Biotransformation Reaction;Pentose Phosphate Pathway;Cori Cycle;Effects of Nitric Oxide"
"1532" "Holoprosencephaly" "Hedgehog Signaling Pathway;TGF Beta Signaling Pathway"
"1533" "Oligodendroglioma" "Spinal Cord Injury;Integrated Pancreatic Cancer Pathway;Signaling Pathways in Glioblastoma"
"1534" "Periodontitis" "Matrix Metalloproteinases;Osteoblast Signaling;Toll-like receptor signaling pathway;Allograft Rejection;Spinal Cord Injury;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1535" "Polycythemia" ""
"1536" "Brain Diseases, Metabolic, Inborn" "TNF alpha Signaling Pathway"
"1537" "Color Vision Defects" ""
"1538" "Scurvy" ""
"1539" "Mastocytosis, Systemic" "Allograft Rejection"
"1540" "Hydrocephalus" ""
"1541" "Bronchiectasis" ""
"1542" "Mucopolysaccharidosis II" ""
"1543" "Intestinal Perforation" "Effects of Nitric Oxide"
"1544" "Optic Neuropathy, Ischemic" "One carbon donor"
"1545" "Virus Diseases" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Interferon type I signaling pathways;IL-4 Signaling Pathway;Regulation of toll-like receptor signaling pathway"
"1546" "Anus Neoplasms" ""
"1547" "Melanoma, Amelanotic" ""
"1548" "Legionnaires' Disease" "Toll-like receptor signaling pathway;Pathogenic Escherichia coli infection;Spinal Cord Injury;Regulation of toll-like receptor signaling pathway"
"1549" "Ciliary Motility Disorders" ""
"1550" "Corneal Diseases" "Adipogenesis;TGF Beta Signaling Pathway;Cardiac Progenitor Differentiation;Endochondral Ossification;Senescence and Autophagy"
"1551" "Demyelinating Diseases" ""
"1552" "Myositis" "Eicosanoid Synthesis"
"1553" "Incontinentia Pigmenti" "B Cell Receptor Signaling Pathway;IL17 signaling pathway;Toll-like receptor signaling pathway;NOD pathway;NLR Proteins;Estrogen signaling pathway;TWEAK Signaling Pathway;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;TCR Signaling Pathway;Structural Pathway of Interleukin 1 (IL-1);Leptin signaling pathway;Osteopontin Signaling;TSLP Signaling Pathway;Oxidative Stress;RANKL/RANK Signaling Pathway;Selenium Metabolism and Selenoproteins;Apoptosis Modulation by HSP70;Vitamin B12 Metabolism;ATM Signaling Pathway;Apoptosis;Regulation of toll-like receptor signaling pathway;EBV LMP1 signaling;TNF alpha Signaling Pathway;MAPK Signaling Pathway;TFs Regulate miRNAs related to cardiac hypertrophy"
"1554" "HIV Wasting Syndrome" "Toll-like receptor signaling pathway;Selenium Micronutrient Network;Adipogenesis;Allograft Rejection;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;TCR Signaling Pathway;Alzheimers Disease;SIDS Susceptibility Pathways;Myometrial Relaxation and Contraction Pathways;Spinal Cord Injury;Apoptosis Modulation by HSP70;Vitamin B12 Metabolism;Hypertrophy Model;Monoamine Transport;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;Serotonin Transporter Activity;EBV LMP1 signaling;TNF alpha Signaling Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Type II diabetes mellitus;Cytokines and Inflammatory Response;Folate Metabolism"
